id,price_eur,price_eur_foil,price_tix,price_usd,price_usd_foil,mana_cost_id,type_line_id,power_toughness_or_loyalty_id,artist_id,set_code_id,rarity_id,language_id,finishes_id,legalities_id
346,0.09,0.26,0.04,0.1,0.4,42,5,13,42,41,1,1,2,18
347,0.25,0.38,0.03,0.32,0.4,7,139,4,157,83,4,1,2,14
348,0.1,0.18,0.03,0.2,0.25,19,128,19,40,116,1,1,2,6
349,0.06,0.07,0.04,0.13,0.05,55,67,17,130,94,1,1,2,18
350,0.3,0.54,0.6,0.31,1.08,13,90,21,107,88,3,1,2,38
351,0.05,0.09,0.03,0.18,0.2,11,134,14,32,7,1,1,2,15
352,0.11,0.61,0.03,0.15,0.5,32,71,8,224,60,4,1,2,32
353,0.15,0.28,0.04,0.22,0.32,32,195,21,63,50,3,1,2,13
354,0.13,0.12,0.03,0.14,0.35,24,176,15,89,78,4,1,2,3
355,0.2,0.35,0.03,0.37,0.33,24,226,14,14,100,4,1,2,4
356,0.1,0.51,0.22,0.25,0.28,27,193,21,174,5,4,1,2,33
357,0.16,0.49,0.03,0.09,0.54,4,155,28,170,92,4,1,2,32
358,0.14,0.08,0.04,0.29,0.23,24,156,20,21,69,1,1,2,12
359,0.02,0.05,0.03,0.05,0.08,3,107,13,26,102,1,1,2,11
360,2.28,41.49,0.04,2.22,79.99,46,160,28,115,109,4,1,2,35
361,0.21,0.25,0.03,0.53,0.35,97,186,14,231,56,4,1,2,26
362,0.07,0.17,0.03,0.25,0.18,51,96,27,65,80,4,1,2,17
363,0.03,0.05,0.03,0.06,0.14,73,133,22,123,100,1,1,2,2
364,0.23,2.39,0.03,0.52,7.56,7,27,14,34,110,1,1,2,30
365,0.47,4.77,0.02,0.34,3.97,90,54,40,154,81,3,1,2,37
366,0.07,0.33,0.04,0.14,0.49,77,58,27,147,96,1,1,2,30
367,0.1,0.4,0.03,0.27,0.75,83,151,41,37,16,4,1,2,32
368,0.16,0.15,0.05,0.08,0.15,93,58,28,162,71,4,1,2,32
369,0.23,0.55,0.02,0.4,0.44,2,56,25,156,2,3,1,2,32
370,0.22,1.58,0.03,0.12,2.98,3,167,9,224,19,1,1,2,31
371,0.09,0.28,0.03,0.24,0.3,38,201,20,232,38,4,1,2,4
372,0.58,1.75,0.03,0.65,0.57,75,25,35,38,2,3,1,2,13
373,0.11,0.36,0.03,0.16,0.51,24,110,10,131,15,4,1,2,21
374,0.09,0.14,0.03,0.23,0.39,43,129,21,60,116,4,1,2,8
375,0.07,0.14,0.03,0.05,0.38,70,129,23,143,115,1,1,2,11
376,15.41,22.23,0.02,29.66,81.29,25,185,28,224,36,3,1,2,32
